מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
"112953- אהבת ישראל (חרד""ל)",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,ז,1,רגיל,21,1,2,10%,0,0%,0,0%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,2,רגיל,31,1,28,90%,25,81%,25,81%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,1,רגיל,29,1,27,93%,22,76%,21,72%
113324- בית-אל בנים,בית אל,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,ז,2,רגיל,29,1,22,76%,17,59%,10,34%
113787- כוכב יעקב בנות,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,ז,1,רגיל,15,1,13,87%,11,73%,11,73%
114058- אריאל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שולמית גיטל פרוינד,ז,1,רגיל,29,1,28,97%,27,93%,27,93%
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,34,רגיל,31,1,2,6%,1,3%,1,3%
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,31,רגיל,30,1,1,3%,0,0%,0,0%
114249- אורות עציון בנות,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,ז,21,רגיל,27,1,27,100%,27,100%,27,100%
114249- אורות עציון בנות,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,ז,22,רגיל,30,1,28,93%,28,93%,28,93%
114249- אורות עציון בנות,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,ז,3,מיוחד,6,1,6,100%,5,83%,5,83%
118042- אום טובא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,ז,1,רגיל,22,1,14,64%,12,55%,12,55%
118042- אום טובא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,ז,3,רגיל,24,1,14,58%,13,54%,13,54%
118042- אום טובא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,ז,2,רגיל,27,1,12,44%,8,30%,8,30%
118042- אום טובא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,ז,4,רגיל,26,1,6,23%,6,23%,6,23%
118067- אחמד סאמח אלחלדי,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,ז,17,מיוחד,14,1,1,7%,0,0%,0,0%
118067- אחמד סאמח אלחלדי,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,ז,2,רגיל,22,1,1,5%,0,0%,0,0%
118133- טור מכין לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,ז,3,רגיל,29,1,29,100%,29,100%,29,100%
118133- טור מכין לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,ז,2,רגיל,31,1,27,87%,22,71%,22,71%
118133- טור מכין לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,ז,1,רגיל,30,1,24,80%,20,67%,15,50%
118158- איבן אל-היית'ם,ירושלים,ממלכתי,העיר ירושלים,ערבי,רנה ח'לף,אסאמה סביטאני,ז,2,רגיל,27,1,1,4%,0,0%,0,0%
118240- צור באהר מכין,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,ז,3,רגיל,34,1,34,100%,34,100%,34,100%
118240- צור באהר מכין,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,ז,2,רגיל,31,1,31,100%,30,97%,30,97%
118240- צור באהר מכין,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,ז,1,רגיל,31,1,30,97%,30,97%,30,97%
118281- שעפט לבנות א,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,ז,3,רגיל,24,1,3,13%,0,0%,0,0%
118281- שעפט לבנות א,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,ז,2,רגיל,23,1,1,4%,0,0%,0,0%
