מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
"160549- אמי""ת איתן",מעלה אדומים,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,ז,4,רגיל,25,1,25,100%,9,36%,7,28%
"160549- אמי""ת איתן",מעלה אדומים,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,ז,1,רגיל,24,1,24,100%,5,21%,4,17%
160598- ארץ הצבי,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,ז,1,רגיל,24,1,2,8%,2,8%,2,8%
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,7,רגיל,28,1,28,100%,26,93%,26,93%
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,5,רגיל,31,1,30,97%,22,71%,20,65%
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,2,רגיל,32,1,32,100%,16,50%,16,50%
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,4,רגיל,29,1,29,100%,5,17%,4,14%
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,3,רגיל,35,1,34,97%,3,9%,3,9%
168419- אולפנת צביה יצירתית,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,ז,1,רגיל,27,1,27,100%,21,78%,21,78%
168419- אולפנת צביה יצירתית,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,ז,2,רגיל,34,1,34,100%,25,74%,24,71%
170043- תיכון שחרית,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,ז,3,רגיל,19,1,19,100%,19,100%,19,100%
170043- תיכון שחרית,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,ז,1,רגיל,23,1,23,100%,17,74%,17,74%
"170092- קשת ראם ע""ש אליס סליגסברג",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,ז,4,רגיל,23,1,23,100%,14,61%,13,57%
"170092- קשת ראם ע""ש אליס סליגסברג",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,ז,1,רגיל,23,1,16,70%,1,4%,1,4%
"170092- קשת ראם ע""ש אליס סליגסברג",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,ז,2,רגיל,23,1,10,43%,1,4%,1,4%
"170092- קשת ראם ע""ש אליס סליגסברג",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,ז,3,מיוחד,13,1,13,100%,0,0%,0,0%
170399- חטיב אורט מינקןף,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,ז,2,רגיל,31,1,30,97%,27,87%,27,87%
170399- חטיב אורט מינקןף,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,ז,4,רגיל,34,1,34,100%,29,85%,28,82%
170399- חטיב אורט מינקןף,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,ז,3,רגיל,36,1,35,97%,27,75%,21,58%
170399- חטיב אורט מינקןף,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,ז,6,רגיל,35,1,34,97%,26,74%,26,74%
